"Node 1" "Node 2" "Node 3" "Node 4" "Node 5" "Node 6" "Node 7" "Node 8"
52.9817 -33.7081 58.2145 -52.9767 -107.8232 4.3856 143.492 22.0769
52.9885 -33.6965 58.202 -52.967 -107.8162 4.3769 143.4884 22.1006
53.0051 -33.6965 58.209 -52.9634 -107.8024 4.3761 143.5072 22.0663
53.0159 -34.258 58.8439 -53.1854 -108.2205 4.237 143.8492 21.2509
53.1701 -34.6056 59.3309 -53.4179 -108.2961 4.1849 144.0901 20.5979
53.3084 -35.009 59.8208 -53.5451 -108.2517 4.279 144.3773 19.9669
53.3813 -35.1065 59.9596 -53.606 -107.8158 4.2806 144.4563 19.7654
53.3205 -35.0332 59.7786 -53.5365 -107.3499 4.1635 144.431 19.9433
53.3435 -35.3925 60.0719 -53.5591 -108.9951 4.1615 144.6224 19.5768
53.3525 -35.6191 60.2393 -53.574 -108.882 4.1739 144.7568 19.3506
53.3329 -35.6308 60.269 -53.5771 -108.9238 4.1694 144.7633 19.3296
53.3325 -35.6756 60.3339 -53.6185 -108.9121 4.1794 144.792 19.2516
53.3483 -35.7166 60.4051 -53.6404 -108.796 4.2075 144.828 19.1642
53.3392 -35.7314 60.3994 -53.6236 -108.807 4.2056 144.8285 19.1627
53.3397 -35.7419 60.426 -53.637 -108.6322 4.2226 144.8446 19.1172
53.3199 -35.7448 60.4002 -53.6257 -108.0946 4.2536 144.8211 19.1799
53.3007 -35.6815 60.3591 -53.6273 -108.1371 4.2333 144.7951 19.226
53.3188 -35.6981 60.3631 -53.6349 -108.1589 4.2351 144.794 19.2288
53.3345 -35.682 60.3649 -53.6401 -108.0898 4.2305 144.7875 19.2389
53.3454 -35.705 60.3809 -53.6426 -108.1291 4.2221 144.8045 19.2106
53.3349 -35.7054 60.3784 -53.6413 -108.1463 4.2402 144.8045 19.1956
53.3353 -35.6786 60.3818 -53.6444 -108.1548 4.2275 144.8134 19.1808
53.3214 -35.6826 60.3663 -53.641 -108.1348 4.2288 144.7969 19.2115
53.3401 -35.6634 60.357 -53.6347 -108.1979 4.2291 144.7896 19.2402
53.323 -35.6955 60.3611 -53.6421 -108.2324 4.2363 144.7826 19.2373
53.3185 -35.6531 60.3497 -53.6471 -108.1588 4.2105 144.7844 19.2413
53.3308 -35.6765 60.3386 -53.63 -108.1633 4.2314 144.7833 19.2409
53.3219 -35.673 60.3505 -53.6481 -108.2123 4.2306 144.7842 19.2528
53.3162 -35.6933 60.3484 -53.6452 -108.1414 4.2197 144.7926 19.2285
53.3165 -35.707 60.3702 -53.6478 -108.1743 4.2335 144.7862 19.238
53.3215 -35.6641 60.3314 -53.6316 -108.2245 4.2335 144.7702 19.2825
53.3142 -35.6548 60.3312 -53.6241 -108.2102 4.2305 144.7699 19.2866
53.3043 -35.6768 60.3282 -53.6209 -108.2225 4.2293 144.7784 19.2694
53.3258 -35.6598 60.3573 -53.6421 -108.2046 4.2248 144.7744 19.2598
53.3313 -35.6911 60.3721 -53.6457 -108.1506 4.2309 144.8015 19.2084
53.326 -35.6914 60.38 -53.6464 -108.1879 4.2351 144.7988 19.2025
53.3121 -35.6738 60.3737 -53.6538 -108.2103 4.2453 144.7916 19.2192
53.333 -35.7114 60.3957 -53.6581 -108.1621 4.2478 144.8027 19.1991
53.343 -35.7155 60.3807 -53.6477 -108.2385 4.2387 144.8086 19.193
53.3115 -35.6978 60.347 -53.6271 -108.2326 4.2562 144.7829 19.2504
53.3202 -35.6666 60.33 -53.6315 -108.2442 4.2413 144.7635 19.2827
53.2381 -35.6779 60.332 -53.6231 -108.1816 4.1647 144.7688 19.2616
53.1466 -35.6723 60.339 -53.6246 -108.0893 4.0903 144.7646 19.2904
53.1249 -35.6483 60.2823 -53.6079 -108.1505 4.0834 144.7452 19.3404
53.1273 -35.6375 60.2695 -53.5952 -108.1646 4.0706 144.7387 19.3631
53.1539 -35.6275 60.2496 -53.5778 -108.1402 4.0819 144.7383 19.376
53.1371 -35.625 60.2447 -53.5736 -108.2045 4.0929 144.7355 19.3758
53.1107 -35.6387 60.2365 -53.5584 -108.1846 4.0828 144.7333 19.3727
53.1282 -35.644 60.2724 -53.5688 -108.1431 4.0817 144.7554 19.3305
53.1348 -35.5787 60.237 -53.5741 -108.2011 4.0771 144.7125 19.408
53.144 -35.4799 60.1438 -53.5813 -108.2689 4.0953 144.6329 19.5337
53.1257 -35.4492 60.1101 -53.5597 -108.2965 4.0915 144.6211 19.5765
53.1169 -35.2754 59.9528 -53.5415 -108.3749 4.0719 144.4952 19.7995
53.1215 -35.1641 59.8755 -53.5326 -108.4163 4.0717 144.4435 19.8712
53.1318 -35.146 59.8342 -53.534 -108.3681 4.0494 144.4082 19.9379
53.1452 -35.1255 59.8549 -53.5652 -108.2651 4.067 144.4103 19.9046
53.1714 -35.1426 59.8952 -53.5947 -108.2872 4.0757 144.4276 19.8644
53.1609 -35.1495 59.8878 -53.5823 -108.2468 4.0727 144.422 19.8708
53.149 -35.1625 59.9041 -53.5996 -108.2013 4.0741 144.4214 19.8738
53.1455 -35.1503 59.9038 -53.6012 -108.2574 4.0715 144.4275 19.8596
53.1587 -35.1458 59.9125 -53.6076 -108.2503 4.0619 144.4191 19.8744
53.1613 -35.2453 59.9085 -53.6001 -108.2975 4.0788 144.4245 19.8547
53.1585 -35.1517 59.895 -53.5872 -108.2616 4.0713 144.4199 19.8671
53.0903 -35.0303 59.8728 -53.6022 -108.2015 4.0154 144.3928 19.9145
53.0567 -35.0417 59.8915 -53.5994 -108.1538 4.0114 144.4008 19.8926
53.1499 -35.0668 59.9265 -53.6118 -108.2452 4.0858 144.4229 19.8393
53.2272 -35.0878 59.9436 -53.6159 -108.318 4.174 144.4262 19.8352
53.2084 -35.0768 59.8925 -53.6115 -108.3273 4.1559 144.3959 19.8885
53.2306 -35.0612 59.8916 -53.6067 -108.3483 4.1641 144.4019 19.8808
53.213 -35.0711 59.905 -53.613 -108.3586 4.1621 144.3974 19.8939
53.2493 -35.0458 59.8944 -53.6125 -108.3432 4.1519 144.3929 19.8998
53.2536 -35.0687 59.9 -53.6191 -108.3595 4.1423 144.401 19.9004
53.2456 -35.0527 59.8897 -53.6077 -108.3599 4.1611 144.3987 19.8927
53.2231 -35.0677 59.9021 -53.6103 -108.3669 4.1565 144.4077 19.875
53.2234 -35.04 59.8931 -53.6059 -108.4104 4.1447 144.4056 19.8735
53.2401 -35.0426 59.9083 -53.6144 -108.2539 4.154 144.4056 19.8723
53.2448 -35.0446 59.9029 -53.616 -108.3158 4.1608 144.3978 19.8934
53.2157 -35.0518 59.9121 -53.617 -108.2548 4.1596 144.416 19.8715
53.2244 -35.0635 59.9139 -53.6122 -108.3429 4.1638 144.4157 19.8607
53.2429 -35.0886 59.9409 -53.6156 -108.3136 4.1665 144.4111 19.8612
53.2288 -35.0504 59.8866 -53.5936 -108.3036 4.1748 144.4052 19.8787
53.2245 -35.0286 59.8662 -53.5895 -108.3751 4.1686 144.3893 19.9178
53.2167 -35.0751 59.8815 -53.5882 -108.282 4.1705 144.3984 19.9022
53.219 -35.0554 59.8791 -53.596 -108.3039 4.1561 144.3963 19.8941
53.2268 -35.0716 59.8803 -53.5881 -108.3003 4.1687 144.3995 19.883
53.2173 -35.0658 59.9045 -53.6026 -108.3679 4.1723 144.4093 19.8673
53.2496 -35.0596 59.8952 -53.6028 -108.2847 4.1702 144.4043 19.8703
53.2456 -35.0445 59.8993 -53.6089 -108.3668 4.1802 144.4042 19.8666
53.2248 -35.0574 59.8883 -53.6012 -108.4108 4.1823 144.4012 19.8714
53.24 -35.0592 59.8968 -53.5966 -108.3841 4.1643 144.401 19.8848
53.2353 -35.0495 59.8713 -53.5832 -108.3679 4.1782 144.3911 19.8994
53.2145 -34.995 59.8177 -53.5519 -108.4424 4.1798 144.3654 19.9776
53.1976 -34.9863 59.8032 -53.5412 -108.4995 4.1722 144.3667 19.9844
53.2303 -35.015 59.8374 -53.5495 -108.5221 4.184 144.3741 19.9843
53.2504 -34.7566 59.6206 -53.5356 -108.5502 4.2185 144.2112 20.2525
53.2417 -34.7278 59.5817 -53.5314 -108.4302 4.2182 144.1968 20.2737
53.2739 -34.3155 59.2267 -53.4626 -108.1613 4.3092 143.9764 20.7451
53.1947 -34.0356 58.8337 -53.2918 -108.0885 4.3014 143.7889 21.2322
53.128 -33.9605 58.7374 -53.2432 -108.0699 4.2928 143.7446 21.3596
53.1312 -33.9386 58.6778 -53.202 -108.0196 4.2832 143.7277 21.4267
53.1209 -33.9175 58.6292 -53.1801 -108.0458 4.2821 143.7185 21.4627
53.1102 -33.8725 58.5949 -53.1464 -108.0415 4.2846 143.7009 21.5179
53.1068 -33.8803 58.5762 -53.1321 -108.0515 4.287 143.6989 21.5302
53.0969 -33.8531 58.5705 -53.1299 -108.101 4.2817 143.6937 21.5521
53.0725 -33.8669 58.5687 -53.137 -108.0486 4.2869 143.6817 21.5797
53.0731 -33.8372 58.5495 -53.1236 -108.0829 4.2838 143.6737 21.6113
53.0679 -33.8453 58.547 -53.1105 -108.0863 4.2901 143.6791 21.6093
53.0994 -33.8568 58.5331 -53.1019 -108.0084 4.2794 143.6848 21.5982
